contact_id,name,email,phone,account,region,deal_value,stage,last_activity,owner
CON-00001,Jessica Mcdaniel,mark19@example.org,2486500901928,"Larson, Larsen and Hernandez",West,328618.5,Closed Won,2025-09-13,Jennifer Williams
CON-00002,Dawn Dawson,lkerr@example.com,4541145392700,Reyes Group,APAC,139516.52,CLOSED WON,2024-10-10,Seth Morgan
CON-00003,Kristy Reese,michaelreyes@example.com,1884243593565,Luna Inc,APAC,288564.47,Qualified,2024-09-17,Joseph Poole
CON-00004,Scott Henderson,erin05@example.org,7522104766333,"Phillips, Robinson and Johnson",West,105064.93,Closed Lost,2025-07-05,David Castillo
CON-00005,Patricia Leon,brianparker@example.net,4833022218014,Fischer-Love,East,410437.64,Closed Won,2024-06-11,Brandi Williams
CON-00006,Kathryn Moore,erik45@example.net,7355940622214,Douglas and Sons,South,222891.26,Closed Lost,2024-10-16,Cathy Murphy
CON-00007,Steven Adams,michaelrodgers@example.net,2683120078435,"Hayes, Lambert and Woods",North,131886.47,Prospect,2024-05-31,Ruben Davidson
CON-00008,Hannah Ramirez,fergusonsue@example.com,4906975411628,"Miles, Shea and Turner",East,429179.62,Closed Lost,2025-10-09,Kathryn Escobar
CON-00009,Devin Brown,lauren69@example.net,9493704595018,Smith and Sons,South,264861.48,Closed Won,2026-01-28,Kyle Francis
CON-00010,David Thornton,nancy01@example.com,5667402152827,Stewart and Sons,North,44567.25,Closed Won,2026-04-03,Collin Chan
CON-00011,Melissa Lam,michaelking@example.net,1863435462348,"Gonzalez, Waller and Wu",East,-48516.58,Prospect,2025-07-14,Lorraine Smith
CON-00012,James Smith,,9067590113506,"Nelson, Dunn and Lyons",South,469564.14,Closed Won,2026-03-02,Shirley Smith
CON-00013,Debbie Roberts,smoore@example.net,9949287579593,"Wilkins, White and Martinez",West,467582.66,CLOSED WON,2025-06-11,Jorge Wyatt
CON-00014,Steven Smith,uburke@example.net,6340054934014,Schroeder-Fletcher,North,55057.4,Proposal,2024-09-27,Christine Underwood
CON-00015,Joseph Greene,whitekelly@example.org,6615811137148,"Reed, Jones and Davis",APAC,441082.09,Prospect,2025-08-24,
CON-00016,William Lee,bharris@example.com,,Parker Group,APAC,39747.98,Closed Lost,2025-09-12,Jeffrey Stewart Jr.
CON-00017,Danielle Cook,kaitlin45@example.net,8882492872006,Benjamin-Cook,North,377849.59,Closed Lost,2025-10-17,Jeffery Perez
CON-00018,Anthony Wallace,,4334866116793,Brady-Wilson,APAC,154229.73,Qualified,2024-06-30,Ryan Kim
CON-00019,Joseph Chambers,xbarber@example.net,7658031826993,Burke Ltd,North,406618.65,Proposal,2025-11-13,Donna Dominguez
CON-00020,Brian Hanson,leecynthia@example.net,,Martinez-Sandoval,East,59405.66,Closed Lost,2025-05-11,Daniel Blackburn
CON-00021,Angela Sanchez,michele55@example.org,2078268499699,King PLC,North,418881.76,Closed Won,2025-03-10,Kristen Taylor
CON-00022,Richard Brown,bartonandrew@example.com,2955669114729,"Patterson, Rice and Lee",South,470421.99,Prospect,2025-03-17,Deborah Taylor
CON-00023,Brittany Hayes,hreese@example.com,5181887402127,Mccormick-Swanson,APAC,417560.95,Prospect,2024-12-08,Dawn Ellison
CON-00024,Thomas Ward,ehamilton@example.com,5100641688802,Thompson LLC,South,90588.06,Closed Won,2025-03-02,Lisa Friedman
CON-00025,Virginia Vaughn,bfrazier@example.org,8942087626475,"Stevens, Jensen and Wilson",East,302676.81,Closed Lost,2024-09-27,Abigail Lewis
CON-00026,John Morales,williamsjames@example.org,7197415143503,Gilbert-Casey,North,332939.53,Proposal,2025-12-04,Lisa Love
CON-00027,Gary Sullivan,kaylaschneider@example.org,9174226315928,Mcpherson and Sons,North,388699.72,Qualified,2025-09-01,Justin Fletcher
CON-00028,Robert Anderson,tylershawn@example.com,7710672342987,"Woods, Vega and Guerra",East,323403.55,CLOSED WON,2025-10-18,Veronica Gutierrez
CON-00029,Andrea Price,smcmahon@example.net,6717431109121,White LLC,South,395949.68,Closed Won,2025-04-26,Andrea Finley
CON-00030,Javier Brown,josephflynn@example.net,5200219550989,"Smith, Conley and Mcknight",APAC,158025.75,Closed Lost,2024-08-03,Glenn Kim
CON-00031,Julia Barrera,roger52@example.org,4723009882317,"King, Reeves and Johnson",APAC,229307.3,Closed Lost,2025-09-02,Nicholas Wilson
CON-00032,Mark Sanders,lauren55@example.org,9655022029389,Cooper Inc,South,427969.19,Closed Won,2025-05-28,Sandra Perez
CON-00033,Elizabeth Young,lynndavis@example.net,3098718529609,Travis-Hines,North,19418.34,Closed Lost,2025-11-30,Eric Carey
CON-00034,Jennifer Morgan,uharrison@example.net,2137385092342,"Barr, Sullivan and Walsh",East,353716.87,Closed Won,2024-07-12,Jonathan Bowman
CON-00035,Ricardo Davis,chelsea21@example.org,5370961181964,Rose Ltd,North,143730.21,Prospect,2024-12-10,
CON-00036,Jennifer Crawford,denisedavis@example.net,3691082171012,Ford Group,East,225200.76,Qualified,2024-10-28,Denise Pierce
CON-00037,Brianna Price,michael05@example.org,6023448861381,Edwards PLC,East,479611.2,Qualified,2024-10-20,Hannah Lopez
CON-00038,Vanessa Blair,jfields@example.com,8622548765577,Collins Ltd,West,219247.29,Prospect,2024-07-28,Douglas Johnson
CON-00039,Kristy Day,jessica23@example.com,5838602148327,Wright-Palmer,South,16273.25,Prospect,2025-10-17,Brandon Wright
CON-00040,Robert Williams,rachel99@example.com,2343661025645,"Nelson, Ramos and Perry",West,91756.18,Prospect,2025-04-25,Rhonda Phillips
CON-00041,Kevin Boyer,reidalison@example.net,5973737023653,"Acosta, Terry and Wallace",North,484263.34,closed won,2024-08-07,Ryan Garcia
CON-00042,Joshua Hoffman,floresduane@example.org,7998464090527,"Jones, Lee and Burns",West,284811.43,Closed Lost,2025-10-08,William Frederick DDS
CON-00043,Brittany Berg,hdean@example.com,8087995466093,"Duncan, Long and Ramirez",APAC,67891.25,Closed Lost,2026-03-05,Justin Davila
CON-00044,Troy Steele,wmorris@example.com,1700411718180,Snow LLC,APAC,288602.61,Qualified,2026-04-12,Jo Potter
CON-00045,Mary Vargas,brittneykennedy@example.org,1836772536484,"Hernandez, Davis and Gregory",North,353971.55,Proposal,2026-03-15,Dana Gibson
CON-00046,Vincent Sanchez,sgutierrez@example.net,1025579778628,Thornton-Williams,APAC,52885.45,Closed Lost,2024-05-05,Charles Cooper
CON-00047,Christopher Smith,rollinscrystal@example.org,3539492839239,"Franco, Weiss and Flores",South,105025.84,Proposal,2025-09-03,Tony Johnson
CON-00048,Colleen Rodriguez,annmartin@example.org,7632905376557,"Vasquez, Medina and Smith",North,107181.8,Closed Lost,2025-06-01,Jill Lopez
CON-00049,Mary Perez,gmoore@example.org,7482820381474,"Pierce, Sanchez and Cantrell",APAC,271316.13,Closed Lost,2024-09-24,Stephen Jones
CON-00050,Valerie Sutton,john08@example.org,4098632931255,Anderson Ltd,East,448230.47,Closed Lost,2025-03-11,Rhonda Fuentes
CON-00051,Ashley Whitaker,davidvargas@example.org,6568502575973,Yates LLC,North,306285.78,closed won,2025-10-31,Catherine Chambers
CON-00052,Andrew Anderson,,8226053001688,Soto-Harris,North,6184.5,Prospect,2025-09-18,Veronica Garcia
CON-00053,Richard Parks,fstewart@example.org,6324246024262,"Williams, Martinez and Lopez",North,464405.42,Closed Lost,2025-09-30,Douglas Williams
CON-00054,Deborah Higgins,brandonmcneil@example.org,0243361985412,Tran Group,West,230045.6,Prospect,2025-03-26,Aaron Ochoa
CON-00055,Brent Ford,,2436922079761,Peterson-Ward,APAC,348548.82,Closed Won,2026-01-18,Raven Williams
CON-00056,Tommy Moore DVM,daniel56@example.net,5124898737866,Brown-Parker,South,398945.32,Proposal,2025-08-01,Rachel Kelley
CON-00057,Jacqueline Wise,elizabethscott@example.org,7078154078076,"Hodges, Flores and Hahn",South,69565.91,Proposal,2024-08-07,Stephen Church
CON-00058,Diana Rowe,richardwhitehead@example.org,1050851125806,"Bowers, Powell and Smith",South,339950.45,Closed Won,2026-04-15,Brandy Jennings
CON-00059,Dawn Wagner,comptonlinda@example.org,1360499104897,"Brock, Simpson and Mooney",West,138911.99,Proposal,2025-05-21,Amanda Adams
CON-00060,Shelly Dorsey,jessicalambert@example.net,,Nguyen-Gibbs,South,47660.42,Proposal,2024-09-14,Anthony Lee
CON-00061,Anita Jones,shane91@example.org,6556503021265,Conley Group,APAC,55091.31,Closed Won,2025-06-20,Annette Taylor
CON-00062,Courtney Miller,nancy25@example.net,8836473609834,"Wilson, Wilson and Moore",South,432858.39,Closed Lost,2025-03-31,Angel Moore
CON-00063,Matthew Morgan,timothy08@example.net,8542665781500,Craig-Hayden,East,349340.33,Qualified,2025-03-19,Kristine Davis
CON-00064,Alicia Adams,lewisrichard@example.com,8641296034795,Kaiser Group,East,476009.69,Qualified,2026-02-09,Nicole Smith
CON-00065,Amanda Garrett,simpsonheidi@example.com,,Shelton-Gray,West,185094.01,Closed Lost,2026-03-17,Caleb Ruiz
CON-00066,Laura Torres,karenprice@example.com,2823476574544,Schmidt-Morse,South,190130.31,Closed Lost,2025-11-13,Madison May
CON-00067,Kristi Mullins,kristinjohnson@example.com,,"Harris, Tapia and Williams",South,171036.4,Closed Lost,2025-11-25,Ethan Blair
CON-00068,Nicholas Murphy,websterryan@example.com,4066644907355,"Bradford, Trevino and Rojas",East,458229.01,Qualified,2024-10-23,Jason Oconnor
CON-00069,Douglas Nelson,jacquelineglenn@example.org,6515192658411,Patterson Inc,APAC,298587.56,Qualified,2024-10-24,Nancy Rodriguez
CON-00070,Julie Lane,bmorris@example.net,8306837114485,Hardy LLC,North,404154.5,Proposal,2024-08-16,Nicole Bryan
CON-00071,Leslie Baldwin,jacobgonzales@example.org,0361754562166,Rose-West,APAC,359798.05,Qualified,2024-08-12,Barbara Keith
CON-00072,Heather Shannon,alejandrogilmore@example.org,5350269571013,Pope and Sons,East,63099.51,Proposal,2025-01-27,Melissa Santiago
CON-00073,Julie Pierce,icarpenter@example.net,2722526489510,Rivera Inc,East,82980.87,Closed Won,2026-04-26,Donald Gray
CON-00074,Mrs. Lynn Dickerson MD,wallerkathy@example.com,8263076915495,Robinson LLC,North,316228.69,Qualified,2024-06-13,Andrea Reid
CON-00075,Paula Jones,jameskennedy@example.net,8544174370249,Wilson PLC,North,132406.52,Closed Won,2025-11-07,Chad Wilson
CON-00076,Lauren Garrett,traci38@example.net,1100103584338,Burgess-Harrington,North,132103.53,Prospect,2024-11-18,Jacqueline King
CON-00077,Kelly Parker,erica25@example.org,8413877480931,"Gray, Reese and Hughes",East,222278.07,CLOSED WON,2025-10-18,Tiffany Terrell
CON-00078,Joseph Lindsey,llarsen@example.net,2497544141682,Spencer Group,West,304606.73,Qualified,2025-02-16,Kyle Smith
CON-00079,Pamela Sanders,,0400603353357,"Smith, Mckay and Mckinney",West,177324.56,Prospect,2025-12-24,Jennifer Monroe
CON-00080,Ronald Turner,jacqueline56@example.net,2998687449322,"Bond, Hudson and Flores",South,194002.63,Qualified,2024-12-02,Derek James
CON-00081,Brooke Beard,kayla61@example.org,5493998813359,Anderson-Wilson,South,139232.83,Proposal,2026-03-10,Tara Obrien
CON-00082,Sarah Wright,,4112364353640,Rich PLC,East,102716.3,Proposal,2024-06-26,Anthony Hood
CON-00083,Joshua Good,,1983733134945,"Reyes, Tanner and Reed",East,263219.88,CLOSED WON,2024-12-13,Lisa Smith
CON-00084,Ian Ali,rodriguezchristopher@example.com,4761052075154,Thomas and Sons,East,307284.49,Qualified,2025-01-14,Danielle Adams
CON-00085,David Knight,,3597640987612,Moon-Pacheco,APAC,158216.48,Qualified,2025-11-03,Elizabeth Peterson
CON-00086,Jeff Rivera,lopezdavid@example.com,4090355826340,Clayton Ltd,South,222396.81,Prospect,2026-04-25,Brian Randolph
CON-00087,Paul Horn,sarahsutton@example.net,2845462802227,Paul Group,East,212391.71,Proposal,2025-11-14,Dr. Catherine Gibson
CON-00088,Brittany Larsen,robertdavis@example.net,2741831023664,"Friedman, Clements and Johnston",South,246424.97,Proposal,2025-09-03,Crystal Moore
CON-00089,Joseph Coffey,jessicacunningham@example.com,7009572979910,Johnson-Holmes,APAC,327981.24,Closed Won,2025-10-27,Haley Bell
CON-00090,Cheyenne Arnold MD,veronica76@example.com,,"Hall, Lang and Rangel",South,75871.0,Qualified,2024-07-04,William Robinson
CON-00091,Laura Long,vray@example.org,7179359068636,"Baxter, Walker and Jensen",North,56775.82,Closed Lost,2024-11-04,James Jones
CON-00092,Valerie Howard,shernandez@example.com,5884198705527,Gonzalez-Gibson,West,235285.19,Proposal,2026-01-24,Jessica English
CON-00093,Margaret Dawson,sandradominguez@example.org,8402642860134,"Serrano, Martinez and Mclean",East,340465.42,Closed Won,2026-01-26,Gregory Berry
CON-00094,Aaron Garcia,pamelahuang@example.net,2582529989334,Lynn and Sons,North,99919.36,Prospect,2024-11-06,Alexander Harris
CON-00095,Marcus Fox,,4631898902984,Martinez Inc,APAC,155492.17,Qualified,2024-10-19,Darlene Rogers
CON-00096,Nicholas Hardy,pamelamcdaniel@example.org,9768420734585,"Cervantes, Valenzuela and Francis",APAC,113978.03,Prospect,2025-08-11,Stephen Bell
CON-00097,Xavier Lewis,ksmith@example.org,2260518260507,Payne Group,APAC,302462.21,Closed Won,2026-01-17,Stephanie White
CON-00098,Mark Allen,sarah00@example.com,4074977051553,Spencer PLC,East,177690.72,Qualified,2025-04-22,Jeffrey Young
CON-00099,Connie West,irwinanna@example.org,9974508953792,Knapp-Anderson,APAC,47666.21,Closed Won,2025-05-02,Cody Sutton
CON-00100,Bill Warren,danielgonzalez@example.net,0727500308091,Cook-Garcia,APAC,133755.41,Proposal,2024-07-27,
CON-00101,Alexis Lee,michealwalker@example.com,4522732285166,Atkinson Group,West,480340.43,Prospect,2026-01-17,Joseph Bennett
CON-00102,Bruce Robinson,acostamark@example.net,7823856160243,Trujillo and Sons,North,490069.17,Closed Lost,2025-04-11,Aaron Obrien
CON-00103,Anne George,vsmith@example.org,7104315516736,"Lawson, Hood and Clark",East,307779.42,Prospect,2024-11-01,Corey King
CON-00104,Natalie Garza,vwhite@example.org,2206919123362,Elliott-Medina,North,221524.88,Closed Lost,2024-11-18,Robert Ross
CON-00105,James Stein,joshua63@example.com,9114581767856,Gomez-Jimenez,South,59596.71,Closed Won,2025-11-10,Tyler Rivas
CON-00106,Rebecca Matthews,john59@example.com,0504260061873,Clark Ltd,APAC,259472.26,Qualified,2024-08-15,Jeanne Baker
CON-00107,Billy White,christine76@example.net,5777473629332,"Wise, Williams and Robinson",West,175143.5,Closed Won,2026-03-13,Dustin Sandoval
CON-00108,Tiffany Barnes,petersonamber@example.com,8211991994282,Jones-Young,South,92730.79,Closed Lost,2025-09-13,Carrie Douglas
CON-00109,Charles Ross,nicoleherrera@example.com,3809687649793,Parker-Myers,North,214811.01,Proposal,2025-03-04,Elizabeth Davis
CON-00110,Daniel Stewart,zperry@example.com,5926515622554,Rogers-Martin,APAC,28703.09,Proposal,2024-09-18,
CON-00111,Patricia Clark,sotoelijah@example.com,3488102729350,Zhang-Price,APAC,292534.43,Closed Lost,2026-01-17,Jennifer Reynolds
